origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2020-03-08,ILI incidence,2020-03-15,1,IT,median,,2.2639495017480034
2020-03-08,ILI incidence,2020-03-22,2,IT,median,,2.24343658180311
2020-03-08,ILI incidence,2020-03-29,3,IT,median,,2.2229236618582173
2020-03-08,ILI incidence,2020-04-05,4,IT,median,,2.202410741913324
2020-03-08,ILI incidence,2020-03-15,1,IT,quantile,0.010,2.0736298889750007
2020-03-08,ILI incidence,2020-03-15,1,IT,quantile,0.025,2.0837211198131618
2020-03-08,ILI incidence,2020-03-15,1,IT,quantile,0.050,2.1021148442017945
2020-03-08,ILI incidence,2020-03-15,1,IT,quantile,0.100,2.153845769393203
2020-03-08,ILI incidence,2020-03-15,1,IT,quantile,0.150,2.169140805361937
2020-03-08,ILI incidence,2020-03-15,1,IT,quantile,0.200,2.1932992587520173
2020-03-08,ILI incidence,2020-03-15,1,IT,quantile,0.250,2.2055807122162996
2020-03-08,ILI incidence,2020-03-15,1,IT,quantile,0.300,2.2237124987570667
2020-03-08,ILI incidence,2020-03-15,1,IT,quantile,0.350,2.240475610880714
2020-03-08,ILI incidence,2020-03-15,1,IT,quantile,0.400,2.2514775016406703
2020-03-08,ILI incidence,2020-03-15,1,IT,quantile,0.450,2.266340906222887
2020-03-08,ILI incidence,2020-03-15,1,IT,quantile,0.500,2.2753771250072163
2020-03-08,ILI incidence,2020-03-15,1,IT,quantile,0.550,2.290027376551091
2020-03-08,ILI incidence,2020-03-15,1,IT,quantile,0.600,2.300972372589716
2020-03-08,ILI incidence,2020-03-15,1,IT,quantile,0.650,2.31487698367941
2020-03-08,ILI incidence,2020-03-15,1,IT,quantile,0.700,2.3281942634052157
2020-03-08,ILI incidence,2020-03-15,1,IT,quantile,0.750,2.3737466906518376
2020-03-08,ILI incidence,2020-03-15,1,IT,quantile,0.800,2.3954253034943305
2020-03-08,ILI incidence,2020-03-15,1,IT,quantile,0.850,2.4109979162974264
2020-03-08,ILI incidence,2020-03-15,1,IT,quantile,0.900,2.4395400056302288
2020-03-08,ILI incidence,2020-03-15,1,IT,quantile,0.950,2.500685466673021
2020-03-08,ILI incidence,2020-03-15,1,IT,quantile,0.975,2.5614718031965342
2020-03-08,ILI incidence,2020-03-15,1,IT,quantile,0.990,2.5840051670033533
2020-03-08,ILI incidence,2020-03-22,2,IT,quantile,0.010,1.862797356257105
2020-03-08,ILI incidence,2020-03-22,2,IT,quantile,0.025,1.8829798179334267
2020-03-08,ILI incidence,2020-03-22,2,IT,quantile,0.050,1.9197672667106929
2020-03-08,ILI incidence,2020-03-22,2,IT,quantile,0.100,2.0232291170935097
2020-03-08,ILI incidence,2020-03-22,2,IT,quantile,0.150,2.0538191890309783
2020-03-08,ILI incidence,2020-03-22,2,IT,quantile,0.200,2.102136095811138
2020-03-08,ILI incidence,2020-03-22,2,IT,quantile,0.250,2.126699002739703
2020-03-08,ILI incidence,2020-03-22,2,IT,quantile,0.300,2.162962575821237
2020-03-08,ILI incidence,2020-03-22,2,IT,quantile,0.350,2.1964888000685323
2020-03-08,ILI incidence,2020-03-22,2,IT,quantile,0.400,2.2184925815884444
2020-03-08,ILI incidence,2020-03-22,2,IT,quantile,0.450,2.248219390752878
2020-03-08,ILI incidence,2020-03-22,2,IT,quantile,0.500,2.2662918283215365
2020-03-08,ILI incidence,2020-03-22,2,IT,quantile,0.550,2.295592331409286
2020-03-08,ILI incidence,2020-03-22,2,IT,quantile,0.600,2.3174823234865367
2020-03-08,ILI incidence,2020-03-22,2,IT,quantile,0.650,2.3452915456659227
2020-03-08,ILI incidence,2020-03-22,2,IT,quantile,0.700,2.3719261051175358
2020-03-08,ILI incidence,2020-03-22,2,IT,quantile,0.750,2.4630309596107782
2020-03-08,ILI incidence,2020-03-22,2,IT,quantile,0.800,2.506388185295765
2020-03-08,ILI incidence,2020-03-22,2,IT,quantile,0.850,2.537533410901957
2020-03-08,ILI incidence,2020-03-22,2,IT,quantile,0.900,2.594617589567562
2020-03-08,ILI incidence,2020-03-22,2,IT,quantile,0.950,2.7169085116531453
2020-03-08,ILI incidence,2020-03-22,2,IT,quantile,0.975,2.8384811847001714
2020-03-08,ILI incidence,2020-03-22,2,IT,quantile,0.990,2.8835479123138112
2020-03-08,ILI incidence,2020-03-29,3,IT,quantile,0.010,1.6519648235392093
2020-03-08,ILI incidence,2020-03-29,3,IT,quantile,0.025,1.6822385160536921
2020-03-08,ILI incidence,2020-03-29,3,IT,quantile,0.050,1.7374196892195912
2020-03-08,ILI incidence,2020-03-29,3,IT,quantile,0.100,1.8926124647938165
2020-03-08,ILI incidence,2020-03-29,3,IT,quantile,0.150,1.9384975727000198
2020-03-08,ILI incidence,2020-03-29,3,IT,quantile,0.200,2.010972932870259
2020-03-08,ILI incidence,2020-03-29,3,IT,quantile,0.250,2.047817293263106
2020-03-08,ILI incidence,2020-03-29,3,IT,quantile,0.300,2.102212652885408
2020-03-08,ILI incidence,2020-03-29,3,IT,quantile,0.350,2.15250198925635
2020-03-08,ILI incidence,2020-03-29,3,IT,quantile,0.400,2.185507661536218
2020-03-08,ILI incidence,2020-03-29,3,IT,quantile,0.450,2.230097875282868
2020-03-08,ILI incidence,2020-03-29,3,IT,quantile,0.500,2.2572065316358567
2020-03-08,ILI incidence,2020-03-29,3,IT,quantile,0.550,2.301157286267481
2020-03-08,ILI incidence,2020-03-29,3,IT,quantile,0.600,2.3339922743833568
2020-03-08,ILI incidence,2020-03-29,3,IT,quantile,0.650,2.375706107652436
2020-03-08,ILI incidence,2020-03-29,3,IT,quantile,0.700,2.4156579468298554
2020-03-08,ILI incidence,2020-03-29,3,IT,quantile,0.750,2.5523152285697193
2020-03-08,ILI incidence,2020-03-29,3,IT,quantile,0.800,2.617351067097199
2020-03-08,ILI incidence,2020-03-29,3,IT,quantile,0.850,2.664068905506488
2020-03-08,ILI incidence,2020-03-29,3,IT,quantile,0.900,2.749695173504895
2020-03-08,ILI incidence,2020-03-29,3,IT,quantile,0.950,2.9331315566332696
2020-03-08,ILI incidence,2020-03-29,3,IT,quantile,0.975,3.1154905662038086
2020-03-08,ILI incidence,2020-03-29,3,IT,quantile,0.990,3.1830906576242683
2020-03-08,ILI incidence,2020-04-05,4,IT,quantile,0.010,1.4411322908213136
2020-03-08,ILI incidence,2020-04-05,4,IT,quantile,0.025,1.4814972141739575
2020-03-08,ILI incidence,2020-04-05,4,IT,quantile,0.050,1.5550721117284898
2020-03-08,ILI incidence,2020-04-05,4,IT,quantile,0.100,1.7619958124941233
2020-03-08,ILI incidence,2020-04-05,4,IT,quantile,0.150,1.8231759563690608
2020-03-08,ILI incidence,2020-04-05,4,IT,quantile,0.200,1.9198097699293797
2020-03-08,ILI incidence,2020-04-05,4,IT,quantile,0.250,1.9689355837865095
2020-03-08,ILI incidence,2020-04-05,4,IT,quantile,0.300,2.0414627299495787
2020-03-08,ILI incidence,2020-04-05,4,IT,quantile,0.350,2.108515178444168
2020-03-08,ILI incidence,2020-04-05,4,IT,quantile,0.400,2.1525227414839923
2020-03-08,ILI incidence,2020-04-05,4,IT,quantile,0.450,2.211976359812859
